"23894","null","null","null","-1.5830871","0.32779592","-0.23112933"
"23894","-0.20344126","0.14912319","-0.8076063","null","null","null"
"23894","null","null","null","-1.6246246","0.25693762","-0.24456798"
"23894","-0.16455251","0.2638731","-1.3147918","null","null","null"
"23894","null","null","null","-1.6747141","0.18119256","-0.25739577"
"23894","null","null","null","-1.7217493","0.11338852","-0.27022356"
"23894","null","null","null","-1.7602327","0.037032615","-0.27877542"
"23894","-0.25996694","0.46759796","-1.826145","null","null","null"
"23894","null","null","null","-1.8097113","-0.025273805","-0.2873273"
"23894","-0.42446417","0.44444942","-2.0154574","null","null","null"
"23894","null","null","null","-1.8463622","-0.08025006","-0.2940466"
"23894","null","null","null","-1.8622442","-0.12239852","-0.29587916"
"23894","-0.6237417","0.1730442","-1.9787524","null","null","null"
"23894","null","null","null","-1.8762937","-0.15416257","-0.29465744"
"23894","null","null","null","-1.8927866","-0.14866495","-0.2812188"
"23894","-0.92325765","-0.07969189","-1.461589","null","null","null"
"23894","null","null","null","-1.8878998","-0.14438902","-0.2641151"
"23894","null","null","null","-1.9019493","-0.11690089","-0.25373068"
"23896","null","null","null","-1.9062252","-0.07658497","-0.23784865"
"23896","-1.3047035","-0.09260845","-0.71502393","null","null","null"
"23898","null","null","null","-1.9007276","-0.012446013","-0.22868595"
"23901","null","null","null","-1.8995059","0.06696413","-0.22379917"
"23901","-1.3786341","-0.13144302","-0.03567159","null","null","null"
"23902","null","null","null","-1.9117229","0.17080817","-0.22441001"
"23906","null","null","null","-1.907447","0.28809083","-0.22502086"
"23906","-1.1177498","-0.46639824","0.7932843","null","null","null"
"23908","null","null","null","-1.9172205","0.41331452","-0.23418356"
"23911","-0.8642366","-1.10075","1.4802992","null","null","null"
"23911","null","null","null","-1.9398218","0.5373165","-0.24578966"
"23913","null","null","null","-1.939211","0.6600968","-0.25373068"
"23915","null","null","null","-1.9184421","0.77066016","-0.25617406"
"23915","-0.618268","-1.8368406","2.4681306","null","null","null"
"23917","null","null","null","-1.8714069","0.8806127","-0.25189814"
"23921","null","null","null","-1.8103222","0.983235","-0.24701136"
"23921","-0.74723864","-2.1661777","3.657802","null","null","null"
"23923","null","null","null","-1.7327446","1.0687536","-0.24456798"
"23927","null","null","null","-1.6704382","1.12373","-0.24701136"
"23927","-0.887336","-2.1559734","4.680838","null","null","null"
"23927","null","null","null","-1.6179054","1.155494","-0.25556323"
"23930","-0.6949876","-1.9966946","5.005581","null","null","null"
"23930","null","null","null","-1.5482687","1.1671001","-0.26716933"
"23933","null","null","null","-1.4658043","1.1671001","-0.28060797"
"23935","-0.5080235","-1.7014399","5.0897627","null","null","null"
"23935","null","null","null","-1.3637929","1.1481638","-0.2928249"
"23937","null","null","null","-1.2727766","1.1200649","-0.29465744"
"23940","null","null","null","-1.2049726","1.0705862","-0.28854898"
"23940","-0.4495689","-1.3287201","5.69871","null","null","null"
"23942","null","null","null","-1.1438879","1.0168316","-0.28549474"
"23945","null","null","null","-1.071197","0.96979636","-0.29099235"
"23945","-0.8105649","-0.59526634","5.616956","null","null","null"
"23947","null","null","null","-0.9923977","0.9013815","-0.3148154"
"23950","null","null","null","-0.9300913","0.815252","-0.3752893"
"23950","-0.68458307","0.21743393","5.666156","null","null","null"
"23952","null","null","null","-0.97346145","0.7089646","-0.49562618"
"23955","null","null","null","-0.93497807","0.62955445","-0.57503635"
"23956","0.26476198","-0.357419","5.362839","null","null","null"
"23957","null","null","null","-0.8225822","0.5580853","-0.5915292"
"23960","null","null","null","-0.68025476","0.44752198","-0.5640411"
"23960","0.6136353","-1.9677181","6.1350617","null","null","null"
"23962","null","null","null","-0.55442023","0.31435728","-0.52494687"
"23965","null","null","null","-0.44202435","0.15736952","-0.49868044"
"23965","-1.4200716","0.090662956","7.738009","null","null","null"
"23967","null","null","null","-0.36200336","-0.0075592347","-0.5023455"
"23970","null","null","null","-0.28198236","-0.16576867","-0.544494"
"23970","-1.5137246","0.8307352","6.44095","null","null","null"
