ClassName,mean,RMS,median,sd
alibadawixStra,0.03309905692602724,3.0736131728492544,0.0036436766,3.073539600218961
dinaelgendyxSt,0.28902974811736937,2.6114170770118093,0.022011757,2.5954768522322795
farahxStraight,0.08000884365775818,2.3494347870771137,0.057966709000000005,2.3481424753515494
ghazalyStraigh,-0.15183786907831684,3.3290793308284075,-0.025638282,3.3257224243036587
habibatarabayS,0.03506085778665652,1.6105508678846014,0.020208359,1.610214642722629
hananabilxStra,0.02348463633063586,1.8226827761848912,0.06016445,1.8225854583396728
hashemdakroury,0.08053412517710616,3.6917734827307234,0.15344541,3.691021709989238
heidiStraightW,0.2055741054415527,2.724726212892258,0.1868171,2.717068574859521
hoshantStraigh,-0.24951716070284363,4.236536547311139,-0.15311282999999998,4.229327421740557
ismail2Straigh,0.24153113158866943,3.349942372290005,0.114468575,3.341345493038009
janahStraightW,0.10167916748610953,1.3930762811031447,0.15343857,1.3894109291606913
janqhStraightW,0.03799745910967016,2.039215813810766,0.058796883,2.0389357611694425
KarenxStraight,0.12999534991751133,2.159648314695438,0.07864332,2.1557882059487823
mayarahmedxStr,0.13760636500694165,1.863985230457106,0.104521275,1.8589507243653751
miraalmouayadS,0.19074041159261498,1.8877483986090446,0.14071178,1.8781511473320032
moatazStraight,-0.08994693057552851,1.8742301238429075,-0.084017515,1.8721395424513652
MohamedDawodSt,0.23054347695131316,2.0585156606148525,0.108042925,2.045627576291589
mohamedelshour,-0.038164187829030055,4.122966835158128,0.262699845,4.122922497950728
moustafahabybe,0.1797871889171759,2.7320088647407137,0.082519888,2.726169640168525
nourhanStraigh,-0.029009001184909695,1.722410760773155,-0.15658426,1.7222223999565218
olabasemStraig,-0.013459169616382691,2.8751874858892386,0.14212418,2.8752475242512423
rollabasemStra,0.18374028424893576,1.4805350528433772,0.0021276474,1.4691340841926526
salwaStraightW,0.16293453443684391,2.2865828044559064,0.16828835,2.280858975943935
seifanaStraigh,-0.3838189005276325,3.6016612469820726,-0.14840603,3.5812701488498146
seifzakariaxSt,0.12300051471490028,5.066327184992654,0.074946135,5.06501556028582
tokhye2Straigh,0.12771619406505955,4.052343189272272,0.2773733,4.050480888653917
waedhatemxStra,-0.11618590611480856,2.05285479928807,0.056958675,2.049625252307559
yaseenriadStra,0.05157859824319693,3.538679534055234,0.076351165,3.5384228551480494
youssefemad2xS,-0.11595266899927915,2.785610936108242,-0.02987194,2.7832962885064148
youssefStraigh,-0.4736595311414593,4.355107764435945,-0.16937137,4.3294414164776445
YusufStraightW,0.36699591280113547,3.185013159056173,0.2722044,3.1638910985520146
zoz5xStraightW,0.02482537326417531,1.9415310912480306,0.0489659905,1.9414329196579587
